2023-10-28 21:10:20,249 - Child process 'my_process' with PID 2492 created.
2023-10-28 21:10:20,250 - Child process 'my_process' with PID 2475 running
2023-10-28 21:10:20,253 - Child process 'my_process' with PID 2492 encountered an error: [Errno 2] No such file or directory
2023-10-28 21:10:31,093 - Thread 'my_thread1' created successfully
2023-10-28 21:10:31,093 - Thread 'my_thread1' running
2023-10-28 21:10:37,782 - Thread 'my_thread2' created successfully
2023-10-28 21:10:37,782 - Thread 'my_thread2' running
2023-10-28 21:10:50,934 - Thread 'mn_thread' created successfully
2023-10-28 21:10:50,934 - Thread 'mn_thread' running
2023-10-28 21:10:56,882 - Thread 'my_thread' not found.
2023-10-28 21:11:05,479 - Thread 'my_thread1' terminated.
2023-10-28 21:11:20,013 - Processes created through your code:
2023-10-28 21:11:23,920 - Process with PID: 2989, Parent PID: 1, Name: sharedfilelistd, Status: running
2023-10-28 21:11:23,920 - Process with PID: 2998, Parent PID: 1, Name: Microsoft Update Assistant, Status: running
2023-10-28 21:11:23,920 - Process with PID: 5889, Parent PID: 1, Name: distnoted, Status: running
2023-10-28 21:11:23,920 - Process with PID: 11638, Parent PID: 1, Name: com.apple.WebKit.WebContent, Status: running
2023-10-28 21:11:23,920 - Process with PID: 12599, Parent PID: 1, Name: CrashReporterSup, Status: running
2023-10-28 21:11:23,920 - Process with PID: 17915, Parent PID: 1, Name: com.apple.WebKit.GPU, Status: running
2023-10-28 21:11:23,921 - Process with PID: 19496, Parent PID: 1, Name: node, Status: running
2023-10-28 21:11:23,921 - Process with PID: 20707, Parent PID: 1, Name: com.apple.WebKit.WebContent, Status: running
2023-10-28 21:11:23,921 - Process with PID: 22345, Parent PID: 1, Name: com.apple.WebKit.WebContent, Status: running
2023-10-28 21:11:23,921 - Process with PID: 22897, Parent PID: 1, Name: TipsAppWidget-macOSExtension, Status: running
2023-10-28 21:11:23,921 - Process with PID: 22906, Parent PID: 1, Name: CalendarWidgetExtension, Status: running
2023-10-28 21:11:23,921 - Process with PID: 23792, Parent PID: 1, Name: com.apple.WebKit.Networking, Status: running
2023-10-28 21:11:23,921 - Process with PID: 23794, Parent PID: 1, Name: com.apple.WebKit.Networking, Status: running
2023-10-28 21:11:23,921 - Process with PID: 24912, Parent PID: 1, Name: ViewBridgeAuxiliary, Status: running
2023-10-28 21:11:23,921 - Process with PID: 24966, Parent PID: 1, Name: RoutePickerViewService, Status: running
2023-10-28 21:11:23,921 - Process with PID: 24998, Parent PID: 1, Name: node, Status: running
2023-10-28 21:11:23,921 - Process with PID: 27127, Parent PID: 1, Name: distnoted, Status: running
2023-10-28 21:11:23,922 - Process with PID: 29081, Parent PID: 1, Name: com.apple.audio., Status: running
2023-10-28 21:11:23,922 - Process with PID: 30674, Parent PID: 1, Name: storeaccountd, Status: running
2023-10-28 21:11:23,922 - Process with PID: 33224, Parent PID: 1, Name: com.apple.Safari.SandboxBroker, Status: running
2023-10-28 21:11:23,922 - Process with PID: 36669, Parent PID: 1, Name: com.apple.Ambien, Status: running
2023-10-28 21:11:23,922 - Process with PID: 40529, Parent PID: 1, Name: cloudd, Status: running
2023-10-28 21:11:23,922 - Process with PID: 42263, Parent PID: 1, Name: Terminal, Status: running
